5,10		14313
5,20		56801
5,30		26698
5,40		20388
5,50		21884
5,60		24843
5,70		25557
5,80		21643
5,90		19468
5,100		16137
5,110		13096
5,120		10331
5,130		7662
5,140		5631
5,150		4121
5,160		3050
5,170		2234
5,180		1640
5,190		1324
5,200		1051
5,210		1189
5,220		1153
5,230		600
5,240		517
5,250		369
5,260		294
5,270		307
5,280		200
5,290		185
5,300		136
5,310		136
5,320		120
5,330		88
5,340		87
5,350		69
5,360		60
5,370		50
5,380		46
5,390		46
5,400		41
5,410		37
5,420		32
5,430		46
5,440		26
5,450		34
5,460		28
5,470		27
5,480		34
5,490		17
5,500		23
5,510		27
5,520		28
5,530		28
5,540		25
5,550		25
5,560		23
5,570		24
5,580		32
5,590		35
5,600		13
5,610		17
5,620		21
5,630		19
5,640		20
5,650		26
5,660		23
5,670		10
5,680		23
5,690		27
5,700		15
5,710		17
5,720		23
5,730		19
5,740		19
5,750		16
5,760		10
5,770		16
5,780		6
5,790		9
5,800		10
5,810		8
5,820		12
5,830		8
5,840		10
5,850		6
5,860		9
5,870		9
5,880		10
5,890		10
5,900		7
5,910		12
5,920		9
5,930		5
5,940		4
5,950		6
5,960		2
5,970		2
5,980		7
5,990		2
5,1000		4
5,1010		4
5,1020		4
5,1040		1
5,1050		4
5,1060		2
5,1070		5
5,1080		3
5,1090		1
5,1100		2
5,1110		1
5,1120		1
5,1130		5
5,1150		3
5,1160		1
5,1170		2
5,1180		1
5,1200		2
5,1210		2
5,1230		1
5,1240		2
5,1260		1
5,1270		2
5,1280		1
5,1310		2
5,1320		2
5,1330		2
5,1340		2
5,1350		1
5,1360		1
5,1380		2
5,1400		1
5,1440		2
5,1470		2
5,1490		1
5,1510		2
5,1530		1
5,1580		1
5,1600		2
5,1620		1
5,1630		1
5,1660		1
5,1670		1
5,1710		1
5,1750		1
5,1880		1
5,2020		1
5,2050		2
5,2140		1
5,2180		1
5,2200		1
5,2260		1
5,2600		1
5,2840		1
10,10		24605
10,20		69071
10,30		92487
10,40		148086
10,50		347549
10,60		652192
10,70		751461
10,80		471721
10,90		253344
10,100		145083
10,110		85465
10,120		51749
10,130		32831
10,140		20263
10,150		13403
10,160		9185
10,170		6397
10,180		4542
10,190		3138
10,200		2325
10,210		1789
10,220		1306
10,230		974
10,240		825
10,250		620
10,260		483
10,270		365
10,280		309
10,290		223
10,300		173
10,310		148
10,320		103
10,330		92
10,340		84
10,350		73
10,360		44
10,370		63
10,380		36
10,390		37
10,400		29
10,410		31
10,420		32
10,430		21
10,440		23
10,450		10
10,460		15
10,470		15
10,480		15
10,490		15
10,500		18
10,510		13
10,520		17
10,530		8
10,540		10
10,550		15
10,560		17
10,570		12
10,580		15
10,590		21
10,600		8
10,610		12
10,620		8
10,630		11
10,640		8
10,650		13
10,660		11
10,670		11
10,680		7
10,690		9
10,700		10
10,710		18
10,720		11
10,730		12
10,740		12
10,750		7
10,760		9
10,770		11
10,780		10
10,790		11
10,800		7
10,810		11
10,820		8
10,830		9
10,840		7
10,850		4
10,860		6
10,870		3
10,880		11
10,890		5
10,900		7
10,910		2
10,920		5
10,930		5
10,940		3
10,950		5
10,960		3
10,970		1
10,980		2
10,990		3
10,1000		3
10,1010		4
10,1020		3
10,1030		2
10,1040		6
10,1050		4
10,1060		2
10,1070		3
10,1080		3
10,1090		4
10,1110		1
10,1120		2
10,1130		7
10,1140		4
10,1160		2
10,1180		3
10,1190		4
10,1200		6
10,1210		1
10,1220		4
10,1230		1
10,1240		2
10,1250		4
10,1260		4
10,1280		1
10,1290		1
10,1300		1
10,1310		3
10,1320		3
10,1330		4
10,1350		2
10,1380		4
10,1390		5
10,1400		3
10,1410		2
10,1430		1
10,1440		2
10,1450		2
10,1460		3
10,1470		5
10,1480		3
10,1490		6
10,1500		2
10,1510		2
10,1520		1
10,1530		3
10,1540		3
10,1550		2
10,1560		2
10,1580		5
10,1590		2
10,1610		1
10,1620		2
10,1630		2
10,1640		1
10,1650		1
10,1670		2
10,1680		1
10,1690		1
10,1720		1
10,1730		2
10,1760		1
10,1770		4
10,1830		1
10,1840		1
10,1850		1
10,1860		2
10,1890		1
10,1940		1
10,1950		1
10,1970		1
10,1980		1
10,1990		1
10,2000		1
10,2020		1
10,2030		1
10,2050		2
10,2060		2
10,2080		2
10,2090		2
10,2110		1
10,2140		1
10,2150		1
10,2160		1
10,2180		1
10,2200		1
10,2220		1
10,2230		1
10,2240		2
10,2260		2
10,2300		1
10,2320		2
10,2330		2
10,2350		1
10,2400		1
10,2460		1
10,2470		1
10,2500		1
10,2550		1
10,2610		1
10,2730		1
10,2750		1
10,2760		3
10,2800		1
10,2850		1
10,2860		1
10,2910		1
10,3120		1
10,3210		1
10,4230		1
15,10		5618
15,20		38488
15,30		53668
15,40		101604
15,50		249741
15,60		579234
15,70		805366
15,80		565277
15,90		264271
15,100		120808
15,110		59948
15,120		30968
15,130		17660
15,140		10390
15,150		6429
15,160		4305
15,170		2878
15,180		1962
15,190		1422
15,200		1012
15,210		744
15,220		561
15,230		428
15,240		294
15,250		226
15,260		149
15,270		106
15,280		81
15,290		68
15,300		57
15,310		57
15,320		48
15,330		26
15,340		22
15,350		28
15,360		21
15,370		23
15,380		19
15,390		15
15,400		25
15,410		14
15,420		5
15,430		10
15,440		5
15,450		9
15,470		2
15,480		5
15,490		9
15,500		6
15,510		9
15,520		7
15,530		11
15,540		3
15,550		15
15,560		7
15,570		7
15,580		3
15,590		5
15,600		9
15,610		7
15,620		2
15,630		7
15,640		4
15,650		3
15,660		3
15,670		6
15,680		1
15,690		3
15,700		2
15,710		4
15,720		6
15,730		7
15,740		6
15,750		8
15,760		2
15,770		1
15,780		5
15,790		5
15,800		3
15,810		3
15,820		1
15,830		2
15,840		18
15,850		7
15,860		1
15,870		2
15,880		5
15,890		3
15,900		1
15,910		2
15,920		1
15,930		5
15,940		1
15,950		2
15,960		1
15,970		2
15,980		4
15,1000		2
15,1010		3
15,1020		3
15,1030		1
15,1040		2
15,1050		4
15,1060		4
15,1070		2
15,1090		2
15,1100		3
15,1110		2
15,1120		2
15,1140		2
15,1150		3
15,1170		3
15,1180		4
15,1190		2
15,1200		1
15,1210		2
15,1220		2
15,1230		1
